feature,group,mean_abs_shap,share_pct
cl_employment,employment_peak,6.062371446897202,0.04058106871714562
cl_employment_peak,employment_peak,205.06307538411556,1.3726771489350336
cl_residential,employment_peak,3.3393614034578283,0.022353439701301075
cl_tourism_hub,employment_peak,13.466135881913369,0.09014132346806909
dow,residential,197.33907269819005,1.7374557603515262
month,residential,129.5618102734382,1.1407163847649993
is_weekend,residential,0.0,0.0
is_holiday,residential,285.5917664360818,2.514469399895427
is_offday,residential,1035.4740431209943,9.116746705638883
is_makeup_workday,residential,0.585950801411533,0.005158956010460663
is_lny,residential,13.036867505900771,0.11478203599197656
is_typhoon,residential,66.60443223747659,0.5864132879195796
is_nye,residential,8.71233017064831,0.07670699995752102
lag1,residential,1327.583365704651,11.688599396725392
lag7,residential,3923.586324510331,34.54489558275638
lag14,residential,1629.8289370841185,14.34969586309594
roll7_mean,residential,454.2674195794378,3.9995604220529857
roll28_mean,residential,101.33726997095533,0.8922157231305818
pagerank,residential,1264.8679142092922,11.136426322362622
out_strength_train,residential,749.8893565870619,6.602339640164126
in_strength_train,residential,124.83644555973024,1.0991122967892224
deg_out,residential,0.0,0.0
deg_in,residential,0.0,0.0
is_yline,residential,2.759984675201397,0.024300059825175132
service_suspended,residential,2.1112691853036667,0.01858849723728419
cl_employment,residential,9.632386157578958,0.08480755780692062
cl_employment_peak,residential,14.182254411386678,0.1248665015241081
cl_residential,residential,6.79212837954005,0.059800739999054296
cl_tourism_hub,residential,9.35233451777608,0.0823418659998269
dow,tourism_hub,384.0368911125583,2.41755119277288
month,tourism_hub,194.9966495640699,1.2275236927750375
is_weekend,tourism_hub,0.0,0.0
is_holiday,tourism_hub,304.76741638148536,1.9185418069000593
is_offday,tourism_hub,1186.0429802461058,7.466260892976255
is_makeup_workday,tourism_hub,0.9883497196987651,0.006221761760471549
is_lny,tourism_hub,16.535027193864238,0.10408967377913268
is_typhoon,tourism_hub,80.51508878496956,0.5068506527183276
is_nye,tourism_hub,11.026032846648732,0.06940999543753708
lag1,tourism_hub,2043.424877128602,12.863566921220926
lag7,tourism_hub,4303.616729835591,27.09170394622833
lag14,tourism_hub,2325.33135999168,14.638196832221567
roll7_mean,tourism_hub,590.5789946161838,3.7177546894641935
roll28_mean,tourism_hub,184.92204134762974,1.1641030119133235
pagerank,tourism_hub,3158.184523959243,19.881091998155814
out_strength_train,tourism_hub,873.9593287257629,5.501662643594039
in_strength_train,tourism_hub,162.4582896186286,1.0226914156750768
deg_out,tourism_hub,0.0,0.0
deg_in,tourism_hub,0.0,0.0
is_yline,tourism_hub,2.4412628672250807,0.015367997432315272
service_suspended,tourism_hub,1.6873754782689965,0.010622199831706544
cl_employment,tourism_hub,11.578721476599105,0.07288922643718841
cl_employment_peak,tourism_hub,16.760481537065427,0.10550893174349871
cl_residential,tourism_hub,5.235931318127028,0.0329607188693361
cl_tourism_hub,tourism_hub,26.279131356939143,0.1654297980929726
